# Time-averaged data for fix myavt
# TimeStep v_Fx v_Fy
12310 -53.7745 2.4409
12320 -49.8631 -0.430811
12330 -46.325 -3.53877
12340 -66.4882 -23.93
12350 -45.2398 4.27078
12360 -36.5294 13.3702
12370 -59.3373 -18.3228
12380 -27.2393 -13.0064
12390 34.5767 3.14216
12400 21.7212 -5.3971
12410 53.2311 4.14538
12420 14.9433 44.0126
12430 -6.56857 32.7045
12440 -25.2546 -2.21201
12450 -46.659 2.13939
12460 -28.9921 15.8981
12470 -8.83282 -20.5562
12480 10.5369 -20.2175
12490 31.4554 -7.97388
12500 32.0363 -13.2929
12510 43.8931 -68.6868
12520 29.4956 -75.492
12530 12.4381 -66.4851
12540 -28.6803 -54.7069
12550 -56.6266 -39.5777
12560 -95.9239 -7.43221
12570 -91.9002 -25.6378
12580 -48.4734 -60.9433
12590 -41.3738 -26.5584
12600 -57.7278 33.1876
12610 -85.2005 12.8138
12620 -77.6362 -43.2224
12630 -57.013 -31.2233
12640 -81.4284 8.79182
12650 -61.1673 24.6828
12660 -16.7103 -14.2188
12670 -26.9879 1.14504
12680 28.2605 21.5198
12690 59.5488 -2.59958
12700 37.3252 -12.3706
12710 19.2344 -33.8835
12720 30.9163 -7.29768
12730 64.2503 0.71147
12740 58.8786 19.8214
12750 42.194 -11.8008
12760 31.266 19.1574
12770 40.1913 46.1789
12780 -5.41073 48.7097
12790 1.12648 45.957
12800 69.4939 59.9173
12810 109.852 59.624
12820 104.794 92.1798
12830 128.97 93.9894
12840 87.0172 29.0151
12850 61.6006 39.9822
12860 52.345 52.0872
12870 30.9448 49.7636
12880 -10.0764 48.0307
12890 6.42608 10.8355
12900 7.62624 16.7883
12910 -26.7761 46.6588
12920 -27.8696 45.7512
12930 61.5775 26.3392
12940 103.45 30.9778
12950 93.1512 -14.3521
12960 93.6626 -66.0731
12970 70.9218 -56.8111
12980 24.6559 -4.17266
12990 -38.3115 -16.3935
13000 -8.66605 -38.0329
13010 3.75433 8.14425
13020 -66.6241 61.0659
13030 -87.8312 40.7493
13040 -42.8891 39.0032
13050 -59.0838 32.9594
13060 -47.4088 62.8097
13070 -36.2382 58.1299
13080 -39.388 3.95798
13090 -53.608 -23.6576
13100 -72.268 0.61486
13110 -54.2142 -48.845
13120 -73.234 -68.1871
13130 -87.2573 -57.7841
13140 -108.915 -56.6254
13150 -59.8858 -89.8122
13160 -46.0945 -52.4106
13170 -60.3585 -7.0761
13180 -69.7353 9.4941
13190 -12.9946 -11.2366
13200 -39.3195 -27.407
13210 -57.4412 -80.6518
13220 -58.699 -76.6735
13230 -94.4309 -90.1603
13240 -87.3043 -88.1094
13250 -82.2349 -104.015
13260 -34.0776 -50.2086
13270 -29.9529 -33.7257
13280 -19.3199 -30.5843
13290 -2.46822 -21.724
13300 29.6068 -60.9583
13310 15.8215 -85.0216
13320 -18.4291 -22.3095
13330 1.17542 14.883
13340 37.278 18.5777
13350 57.511 6.03097
13360 31.2957 6.23281
13370 41.7381 31.8193
13380 23.641 24.8565
13390 23.7199 5.48981
13400 22.245 23.4536
13410 42.2798 36.3411
13420 13.0799 34.0437
13430 8.85025 15.7222
13440 56.2057 -24.7873
13450 77.495 -21.4363
13460 27.3104 -17.8308
13470 79.7012 6.12697
13480 68.2342 26.5777
13490 35.5097 37.7354
13500 -1.88034 49.1816
13510 -19.8028 88.2319
13520 -36.9428 77.4615
13530 -37.7273 37.4458
13540 -71.9314 65.9924
13550 -66.3018 44.8706
13560 -94.0534 -7.10586
13570 -58.632 2.42519
13580 -52.7104 31.0712
13590 -41.825 37.3538
13600 -15.5689 -13.107
13610 -15.0884 41.3242
13620 -9.39139 30.9485
13630 -18.4778 51.2758
13640 -44.7784 51.9836
13650 -36.5634 27.1189
13660 -34.7752 43.916
13670 -0.0325153 84.7472
13680 1.96741 104.995
13690 -9.7972 47.6256
13700 -14.9087 33.6967
13710 16.949 83.3026
13720 61.0437 118.665
13730 83.0898 66.4161
13740 97.5388 15.2147
13750 82.0473 17.4
13760 82.804 11.4355
13770 73.2736 31.5461
13780 116.072 0.0724131
13790 109.847 33.73
13800 129.529 37.2044
13810 74.2635 44.3758
13820 69.4002 25.6672
13830 66.4022 11.2705
13840 50.0629 -11.6333
13850 47.7647 -10.3661
13860 71.382 -4.87142
13870 92.3883 -7.176
13880 107.268 -46.5953
13890 91.827 11.5275
13900 119.664 62.2084
13910 128.303 71.6708
13920 100.214 14.5934
13930 42.7165 11.0288
13940 68.9075 51.2049
13950 63.7926 7.13376
13960 92.2927 13.4433
13970 95.6799 -8.32388
13980 122.946 -45.8438
13990 117.526 -44.6713
14000 103.922 -58.9073
14010 108.538 -18.2608
14020 105.993 -11.8441
14030 34.8379 10.0993
14040 41.0843 76.7504
14050 32.9419 74.2004
14060 -24.7708 26.5781
14070 -95.8274 8.50899
14080 -154.676 9.8449
14090 -165.247 0.91016
14100 -174.172 -22.298
14110 -153.304 -68.2867
14120 -173.296 -49.9306
14130 -159.486 -17.9538
14140 -144.199 -22.2364
14150 -131.032 -20.248
14160 -142.614 -29.5218
14170 -166.045 -39.7896
14180 -129.192 -68.5875
14190 -80.2692 -81.5119
14200 -93.903 -88.2546
14210 -103.274 -100.812
14220 -96.9427 -111.19
14230 -91.3632 -71.5037
14240 -83.2436 -41.8966
14250 -129.917 -61.8792
14260 -115.739 -53.8252
14270 -62.1948 -51.3393
14280 -11.5847 -10.2676
14290 -3.83191 -28.985
14300 5.21012 -10.8605
14310 26.2098 -7.31813
14320 18.8754 -26.1781
14330 -11.9474 -28.09
14340 33.0633 -21.2406
14350 4.59231 -37.8329
14360 -45.4948 -56.2496
14370 -47.6278 -36.2276
14380 -47.5675 -24.8483
14390 -41.0952 2.18443
14400 4.86406 14.0039
14410 -11.8374 13.5675
14420 -30.1086 31.7887
14430 -60.6893 -2.17445
14440 -42.2575 39.0156
14450 -37.5954 -8.61075
14460 -34.2863 -5.42459
14470 -22.4129 -0.641515
14480 -4.29346 -4.22286
14490 -45.1127 13.5584
14500 -105.922 -15.3539
14510 -87.2926 -13.6842
14520 -80.7369 -11.3288
14530 -67.095 -51.366
14540 -8.59396 -57.2731
14550 8.96252 -22.0309
14560 -10.5034 24.6997
14570 64.3934 15.4089
14580 91.9705 -16.1257
14590 35.7481 -11.6958
14600 21.935 55.1281
14610 47.8964 79.5935
14620 65.3129 44.6622
14630 -5.46175 16.5616
14640 -31.4393 40.4492
14650 17.2541 65.1276
14660 17.4239 35.3107
14670 25.3676 -8.43546
14680 51.0653 -36.2223
14690 50.9548 -37.5875
14700 26.1656 -8.9396
14710 -15.6124 26.3005
14720 46.3667 71.8371
14730 80.7308 75.2507
14740 39.393 104.431
14750 40.714 36.3338
14760 62.0242 -34.3359
14770 23.0916 -49.5561
14780 1.5526 -34.8683
14790 29.9527 -64.6685
14800 -15.5564 -65.4897
14810 -23.509 -34.6906
14820 27.7928 -18.2692
14830 51.0953 -12.4634
14840 88.0127 -43.9222
14850 139.072 0.897466
14860 165.477 -19.2799
14870 133.198 10.4537
14880 91.7493 51.2045
14890 103.063 65.7664
14900 68.3326 33.1657
14910 -3.23713 7.02306
14920 6.27479 -7.96679
14930 27.9547 7.69791
14940 53.9894 -26.2777
14950 66.1038 -20.203
14960 25.0263 30.1377
14970 30.6088 33.6488
14980 17.7165 38.083
14990 22.1705 96.622
15000 5.74868 131.283
15010 -1.9466 134.408
15020 -5.73284 89.2083
15030 -37.9591 77.0441
15040 -93.333 77.0884
15050 -103.237 -6.12908
15060 -43.29 3.57146
15070 3.67295 33.9963
15080 -8.72313 16.4294
15090 0.671991 -28.9041
15100 20.8966 5.39578
15110 25.3542 -24.5317
15120 -2.95641 -38.8228
15130 -9.61295 -69.614
15140 -24.5101 -59.7256
15150 -75.3724 -78.0282
15160 -64.7767 -103.248
15170 -35.8311 -109.14
15180 -42.1523 -122.565
15190 -22.3368 -120.02
15200 36.4439 -93.4269
15210 15.7386 -96.6988
15220 19.2809 -78.3957
15230 48.4174 -37.4241
15240 19.117 14.558
15250 15.0954 -4.61426
15260 5.68456 -22.5933
15270 10.2478 -0.0573188
15280 42.2564 -27.5444
15290 37.6281 -48.0013
15300 58.081 -47.7141
15310 72.6059 -35.0113
15320 83.6185 -37.1692
15330 45.8145 -48.2954
15340 21.9129 -45.9697
15350 -56.2377 7.49591
15360 -70.606 37.8423
15370 -42.8819 67.2357
15380 -36.15 85.7776
15390 -36.0929 47.9014
15400 16.1739 69.5667
15410 47.2664 32.5758
15420 -11.0257 -22.0826
15430 -42.2368 -44.261
15440 -40.5901 -17.7817
15450 0.672855 -40.1288
15460 39.8494 -55.7262
15470 28.6177 -55.0967
15480 4.54573 5.35913
15490 26.3135 24.2559
15500 4.25884 11.6978
15510 17.5023 25.4314
15520 37.5394 32.1115
15530 12.6854 52.7537
15540 -34.8208 66.3371
15550 -90.4868 54.6612
